text,date
"TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#DeathStranding?????
#TomorrowIsInYourHand https://t.co/h5fcBuK2MM",2019/12/12 3:36
"TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#DeathStranding?????
#TomorrowIsInYourHand https://t.co/snurWt3Vyh",2019/12/12 3:34
"Received a comment about DEATH STRANDING from J.J. Abrams who’s visiting in Japan this week. Thank you, JJ! 

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/JWmfp9Pwuf",2019/12/11 16:24
With Lindsay. https://t.co/w4CzSb30k2,2019/12/11 15:23
"Dear Sam “Porter” Bridges in the world, thanks for delivering packages. We gathered all Sam(someone)’s play reaction footage has been streamed with their permission. For those who haven’t yet finished the game or who have, either or, pls enjoy watching! 

#DeathStranding https://t.co/7t8qnDS8JL",2019/12/10 0:11
"Introducing a small bit of Making Of DEATH STRANDING(sneak preview)

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/PHOI3d7p2a",2019/12/9 16:39
And thanks Oscar for the message as well! https://t.co/W3utihRs5C,2019/12/9 15:41
Thanks JJ for giving the message on our kitchen board. https://t.co/tFGGmFy6Z0,2019/12/9 15:40
J.J. Abrams and Oscar Isaac visited Kojima Productions. https://t.co/XBmLzkcOTZ,2019/12/9 15:37
"All the cakes appeared in DEATH STRANDING is handmade. We scan the real made cakes and after that we enjoyed eating them. 

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/nCWyCxuSfE",2019/12/9 13:45
Good morning https://t.co/927B7ATNiB,2019/12/9 9:43
Bought COLDPLAY’s new album “EVERYDAY LIFE”. https://t.co/OX6nvHgMjt,2019/12/8 23:10
"Bought Danish filmmaker, Carl Theodor Dreyer’s La Passion de Jeanne d'Arc on BD(2K restoration version) https://t.co/eGwDJ2XPkC",2019/12/8 23:10
"DEATH STRANDING launch trailer 4K available on YouTube. 

#DeathStranding?
#WorldStrandTour2019　#TomorrowIsInYourHands?
https://t.co/LwwBuKBGF4",2019/12/8 16:03
Treasure from Budapest https://t.co/JTfCaZWT8D,2019/12/8 16:00
"Alright, I became independent in Dec 2015, but only had the logo and just my dream and vision. When I stayed in the hotel in Osaka at the end of the year, I remember I was about to cry when I saw this welcome cookie in the room. It was too precious to eat so I kept it this way. https://t.co/DqgOAGoZBA",2019/12/7 23:09
"Dear Sam “Porter” Bridges, thanks for delivering packages today. It’ll be freezing out there so take care of yourself ???????????

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/Tzkoes5rla",2019/12/7 19:53
"The 1st day off in 6 weeks. I woke up early to visit the special exhibit of MAN,GOD &amp; NATURE IN THE ANCIENT WORLD. I noticed there’s the Stargazer. https://t.co/RWW5Luz4yn",2019/12/7 14:46
